1 2 3
1 0.000000 0.000000
2 0.000000 8.000000
3 17.000000 21.000000
4 0.000000 6.000000
5 8.000000 11.000000
6 8.000000 16.000000
7 21.000000 26.000000
8 21.000000 30.000000
9 6.000000 8.000000
10 6.000000 13.000000
11 8.000000 17.000000
12 30.000000 32.000000
13 21.000000 27.000000
14 32.000000 35.000000
15 8.000000 17.000000
16 16.000000 26.000000
17 43.000000 49.000000
18 38.000000 43.000000
19 30.000000 33.000000
20 43.000000 50.000000
21 26.000000 28.000000
22 49.000000 56.000000
23 56.000000 58.000000
24 58.000000 61.000000
25 50.000000 53.000000
26 17.000000 24.000000
27 30.000000 38.000000
28 50.000000 53.000000
29 35.000000 42.000000
30 61.000000 63.000000
31 53.000000 55.000000
32 63.000000 63.000000
